configuration,evaluation_scope,file_name,perturbation,status,rejection_reason,original_prediction_kg,perturbed_prediction_kg,delta_kg
random_forest,baseline,22c85481-acbd-4076-b8d4-b330d3374d09.png,scale_grow,eligible,,478.965304,490.997297,12.031993
random_forest,baseline,22c85481-acbd-4076-b8d4-b330d3374d09.png,scale_shrink,eligible,,478.965304,457.545513,-21.419791
random_forest,baseline,22c85481-acbd-4076-b8d4-b330d3374d09.png,shift_down,eligible,,478.965304,478.965304,0.000000
random_forest,baseline,22c85481-acbd-4076-b8d4-b330d3374d09.png,shift_left,eligible,,478.965304,478.965304,0.000000
random_forest,baseline,22c85481-acbd-4076-b8d4-b330d3374d09.png,shift_right,eligible,,478.965304,478.965304,0.000000
random_forest,baseline,22c85481-acbd-4076-b8d4-b330d3374d09.png,shift_up,eligible,,478.965304,478.965304,0.000000
random_forest,baseline,2419d853-34c1-408c-8122-6498002c8312.png,contraction,eligible,,317.749837,328.324474,10.574637
random_forest,baseline,2419d853-34c1-408c-8122-6498002c8312.png,expansion,eligible,,317.749837,376.743961,58.994124
random_forest,baseline,2419d853-34c1-408c-8122-6498002c8312.png,scale_grow,eligible,,317.749837,327.677443,9.927606
random_forest,baseline,2419d853-34c1-408c-8122-6498002c8312.png,scale_shrink,eligible,,317.749837,315.075316,-2.674522
random_forest,baseline,2419d853-34c1-408c-8122-6498002c8312.png,shift_down,eligible,,317.749837,317.749837,0.000000
random_forest,baseline,2419d853-34c1-408c-8122-6498002c8312.png,shift_left,eligible,,317.749837,317.749837,0.000000
random_forest,baseline,2419d853-34c1-408c-8122-6498002c8312.png,shift_right,eligible,,317.749837,317.749837,0.000000
random_forest,baseline,2419d853-34c1-408c-8122-6498002c8312.png,shift_up,eligible,,317.749837,317.749837,0.000000
random_forest,baseline,24d72b1f-a473-4a63-9126-f55591d64655.png,contraction,rejected,contraction_topology_violation,362.982647,,
random_forest,baseline,24d72b1f-a473-4a63-9126-f55591d64655.png,expansion,rejected,contraction_topology_violation,362.982647,,
random_forest,baseline,24d72b1f-a473-4a63-9126-f55591d64655.png,scale_grow,eligible,,362.982647,356.802655,-6.179992
random_forest,baseline,24d72b1f-a473-4a63-9126-f55591d64655.png,scale_shrink,eligible,,362.982647,358.908661,-4.073987
random_forest,baseline,24d72b1f-a473-4a63-9126-f55591d64655.png,shift_down,rejected,shift_cuts_foreground,362.982647,,
random_forest,baseline,24d72b1f-a473-4a63-9126-f55591d64655.png,shift_left,eligible,,362.982647,362.982647,0.000000
random_forest,baseline,24d72b1f-a473-4a63-9126-f55591d64655.png,shift_right,eligible,,362.982647,362.982647,0.000000
random_forest,baseline,24d72b1f-a473-4a63-9126-f55591d64655.png,shift_up,eligible,,362.982647,362.982647,0.000000
random_forest,baseline,28cf3f46-5cde-4fa2-992d-76cc2f454fd8.png,contraction,rejected,contraction_topology_violation,449.378964,,
random_forest,baseline,28cf3f46-5cde-4fa2-992d-76cc2f454fd8.png,expansion,rejected,contraction_topology_violation,449.378964,,
random_forest,baseline,28cf3f46-5cde-4fa2-992d-76cc2f454fd8.png,scale_grow,eligible,,449.378964,450.130719,0.751755
random_forest,baseline,28cf3f46-5cde-4fa2-992d-76cc2f454fd8.png,scale_shrink,eligible,,449.378964,448.913794,-0.465170
random_forest,baseline,28cf3f46-5cde-4fa2-992d-76cc2f454fd8.png,shift_down,eligible,,449.378964,449.378964,0.000000
random_forest,baseline,28cf3f46-5cde-4fa2-992d-76cc2f454fd8.png,shift_left,eligible,,449.378964,449.378964,0.000000
random_forest,baseline,28cf3f46-5cde-4fa2-992d-76cc2f454fd8.png,shift_right,eligible,,449.378964,449.378964,0.000000
random_forest,baseline,28cf3f46-5cde-4fa2-992d-76cc2f454fd8.png,shift_up,eligible,,449.378964,449.378964,0.000000
random_forest,baseline,295a18ed-f530-4a21-9fdd-7636c3135df2.png,contraction,rejected,expansion_topology_violation,99.174322,,
random_forest,baseline,295a18ed-f530-4a21-9fdd-7636c3135df2.png,expansion,rejected,expansion_topology_violation,99.174322,,
random_forest,baseline,295a18ed-f530-4a21-9fdd-7636c3135df2.png,scale_grow,eligible,,99.174322,128.723432,29.549110
